ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
121817,7,28,6,23,30.49476667,-81.63999444,12,3,1,2,65,1,0,65
121818,7,28,6,6,28.30427778,-81.45346667,8,3,1,2,45,0,0,45
121819,7,29,7,7,25.96200833,-80.29459722,42,1,1,1,100,1,0,45
121820,7,28,6,0,26.76227222,-80.22688611,12,2,10,2,50,0,1,45
121821,7,26,4,10,28.66846667,-82.14275833,24,1,1,1,70,1,0,70
121822,7,28,6,18,27.44777222,-82.57538333,12,1,1,3,45,0,0,45
121823,7,5,4,13,28.14581944,-82.31188056,12,1,10,2,10,1,0,0
121824,7,26,4,22,29.45788889,-81.17699167,12,2,1,2,70,1,0,70
121825,7,6,5,10,27.1622,-80.493975,42,1,1,1,50,1,0,50
121826,7,15,7,20,28.48338611,-81.45895278,8,3,1,1,25,0,0,50
121827,7,26,4,0,28.025175,-82.45946944,8,3,1,1,35,0,0,40
121828,7,11,3,15,27.26922222,-80.26676111,12,1,1,2,5,0,0,0
121829,7,24,2,12,25.76087778,-80.42488889,12,1,10,3,68,0,0,45
121830,7,11,3,9,27.77244444,-82.145625,12,1,1,2,60,1,0,60
121831,6,29,5,17,29.62568889,-81.20531111,12,1,1,3,45,0,0,45
121832,7,2,1,13,28.89520278,-81.62901944,12,1,1,2,55,1,0,55
121833,7,17,2,3,25.94085833,-80.24540833,12,3,10,2,102,0,0,40
121834,7,2,1,3,25.96575278,-80.16533056,12,3,1,3,90,0,0,55
